MONTH_NAME,STATE,REGION,SEASON,EVENT_TYPE,INJURIES_TOTAL,DEATHS_TOTAL,DAMAGE_TOTAL_USD,plot_lat,plot_lon
July,VIRGINIA,Southeast,Summer,Thunderstorm Wind,0,0,6000.0,37.7858,-78.7003
July,VIRGINIA,Southeast,Summer,Thunderstorm Wind,0,0,1000.0,37.7815,-78.702
July,VIRGINIA,Southeast,Summer,Thunderstorm Wind,0,0,1000.0,37.782,-78.5323
July,VIRGINIA,Southeast,Summer,Thunderstorm Wind,0,0,5000.0,38.3889,-79.0835
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.31,-77.03
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.34,-76.99
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.86,-77.03
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.7957,-77.0148
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.8966,-77.0427
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.73,-76.54
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.88,-76.48
April,MISSISSIPPI,South,Spring,Thunderstorm Wind,0,0,8000.0,34.39,-88.88
May,WEST VIRGINIA,Ohio Valley,Spring,Thunderstorm Wind,0,0,1000.0,39.3886,-79.8554
May,PENNSYLVANIA,Northeast,Spring,Tornado,0,0,50000.0,40.9381,-79.9633
May,PENNSYLVANIA,Northeast,Spring,Tornado,0,0,5000.0,40.9639,-79.8913
May,PENNSYLVANIA,Northeast,Spring,Thunderstorm Wind,0,0,10000.0,39.95,-79.45
May,PENNSYLVANIA,Northeast,Spring,Thunderstorm Wind,0,0,1000.0,40.05,-79.36
May,OHIO,Ohio Valley,Spring,Hail,0,0,0.0,40.33,-82.17
May,OHIO,Ohio Valley,Spring,Hail,0,0,0.0,40.13,-81.09
May,OHIO,Ohio Valley,Spring,Hail,0,0,0.0,40.13,-80.99
May,FLORIDA,Southeast,Spring,Thunderstorm Wind,0,0,20000.0,26,-80.24
May,FLORIDA,Southeast,Spring,Thunderstorm Wind,0,0,15000.0,26.99,-81.1
May,NEBRASKA,Northern Rockies and Plains,Spring,Thunderstorm Wind,0,0,75000.0,40.2069,-101.2689
April,MISSISSIPPI,South,Spring,Thunderstorm Wind,0,0,0.0,34.4,-88.7
April,MISSISSIPPI,South,Spring,Thunderstorm Wind,0,0,5000.0,34.44,-89.04
May,MISSOURI,Ohio Valley,Spring,Hail,0,0,0.0,36.9663,-90.1465
May,MISSOURI,Ohio Valley,Spring,Hail,0,0,0.0,37.7225,-89.8807
May,ILLINOIS,Ohio Valley,Spring,Hail,0,0,0.0,37.72,-88.93
May,TENNESSEE,Ohio Valley,Spring,Thunderstorm Wind,0,0,3000.0,35.2405,-86.1816
May,ALABAMA,Southeast,Spring,Thunderstorm Wind,0,0,1000.0,34.7471,-87.9306
May,MISSISSIPPI,South,Spring,Thunderstorm Wind,0,0,0.0,33.78,-89.75
May,MISSISSIPPI,South,Spring,Thunderstorm Wind,0,0,0.0,33.71,-89.12
May,MISSISSIPPI,South,Spring,Thunderstorm Wind,0,0,0.0,33.75,-90.72
May,MISSISSIPPI,South,Spring,Lightning,0,0,30000.0,33.75,-90.72
May,MISSOURI,Ohio Valley,Spring,Thunderstorm Wind,0,0,0.0,36.772,-90.2569
May,KENTUCKY,Ohio Valley,Spring,Funnel Cloud,0,0,0.0,37.0185,-88.6536
May,KENTUCKY,Ohio Valley,Spring,Hail,0,0,0.0,37.0557,-87.881
May,KENTUCKY,Ohio Valley,Spring,Hail,0,0,0.0,36.9949,-87.1486
May,KENTUCKY,Ohio Valley,Spring,Hail,0,0,0.0,36.9607,-87.5462
May,KENTUCKY,Ohio Valley,Spring,Tornado,0,0,35000.0,36.9465,-87.3008
May,ALABAMA,Southeast,Spring,Tornado,0,0,0.0,34.725,-86.786
May,ALABAMA,Southeast,Spring,Thunderstorm Wind,0,0,1000.0,34.772,-87.6881
May,MISSISSIPPI,South,Spring,Thunderstorm Wind,0,0,0.0,32.24,-88.88
May,MISSISSIPPI,South,Spring,Thunderstorm Wind,0,0,0.0,32.26,-88.63
May,MISSISSIPPI,South,Spring,Thunderstorm Wind,0,0,0.0,32.4,-88.7
May,MISSISSIPPI,South,Spring,Thunderstorm Wind,0,0,2000.0,31.42,-89.55
May,MISSISSIPPI,South,Spring,Thunderstorm Wind,0,0,7000.0,31.56,-89.37
May,ALABAMA,Southeast,Spring,Thunderstorm Wind,0,0,1000.0,34.8032,-87.4863
May,ALABAMA,Southeast,Spring,Thunderstorm Wind,0,0,1000.0,34.7567,-87.6478
May,ALABAMA,Southeast,Spring,Thunderstorm Wind,0,0,1000.0,34.7457,-87.9277
May,MISSISSIPPI,South,Spring,Thunderstorm Wind,0,0,0.0,32.24,-90.49
July,SOUTH DAKOTA,Northern Rockies and Plains,Summer,Thunderstorm Wind,0,0,0.0,43.79,-97.83
July,SOUTH DAKOTA,Northern Rockies and Plains,Summer,Thunderstorm Wind,0,0,0.0,43.4,-97.41
July,SOUTH DAKOTA,Northern Rockies and Plains,Summer,Thunderstorm Wind,0,0,0.0,43.48,-97.46
July,SOUTH DAKOTA,Northern Rockies and Plains,Summer,Thunderstorm Wind,0,0,0.0,43.49,-97.31
July,SOUTH DAKOTA,Northern Rockies and Plains,Summer,Thunderstorm Wind,0,0,0.0,43.54,-97.39
July,ATLANTIC SOUTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,27.59,-80.36
July,ATLANTIC SOUTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,29.05,-80.95
July,ATLANTIC SOUTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,27.22,-80.2
July,FLORIDA,Southeast,Summer,Thunderstorm Wind,0,0,0.0,28.77,-81.22
July,FLORIDA,Southeast,Summer,Thunderstorm Wind,0,0,0.0,28.36,-80.65
July,ATLANTIC SOUTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,28.34,-80.68
July,ATLANTIC SOUTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,27.18,-80.22
July,ATLANTIC SOUTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,29.29,-80.8
July,ATLANTIC SOUTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,28.63,-80.81
July,KANSAS,South,Summer,Hail,0,0,0.0,37.68,-97.52
July,KANSAS,South,Summer,Thunderstorm Wind,0,0,0.0,37.56,-97.52
July,KANSAS,South,Summer,Thunderstorm Wind,0,0,0.0,37.53,-97.58
July,KANSAS,South,Summer,Hail,0,0,0.0,37.66,-98.13
July,KANSAS,South,Summer,Thunderstorm Wind,0,0,0.0,37.11,-97.76
July,MISSOURI,Ohio Valley,Summer,Hail,0,0,0.0,39.41,-94.21
July,MASSACHUSETTS,Northeast,Summer,Lightning,0,0,10000.0,42.5,-71.2
July,MASSACHUSETTS,Northeast,Summer,Thunderstorm Wind,0,0,800.0,42.51,-72.78
July,MASSACHUSETTS,Northeast,Summer,Thunderstorm Wind,0,0,1000.0,42.29,-72.41
July,MASSACHUSETTS,Northeast,Summer,Thunderstorm Wind,0,0,1000.0,42.31,-72.42
July,MASSACHUSETTS,Northeast,Summer,Thunderstorm Wind,0,0,300.0,42.13,-71.7
July,MASSACHUSETTS,Northeast,Summer,Thunderstorm Wind,0,0,300.0,42.12,-71.54
July,WYOMING,Northern Rockies and Plains,Summer,Thunderstorm Wind,0,0,0.0,43.02,-105.84
July,NEW MEXICO,Southwest,Summer,Thunderstorm Wind,0,0,0.0,36.63,-103.07
July,SOUTH DAKOTA,Northern Rockies and Plains,Summer,Thunderstorm Wind,0,0,0.0,44.08,-99.61
July,TENNESSEE,Ohio Valley,Summer,Thunderstorm Wind,0,0,2000.0,36.56,-87.916
July,PENNSYLVANIA,Northeast,Summer,Thunderstorm Wind,0,0,1000.0,40.3982,-76.928
July,PENNSYLVANIA,Northeast,Summer,Thunderstorm Wind,0,0,1000.0,40.4311,-76.9481
July,PENNSYLVANIA,Northeast,Summer,Thunderstorm Wind,0,0,1000.0,40.3698,-76.3136
July,PENNSYLVANIA,Northeast,Summer,Thunderstorm Wind,0,0,3000.0,39.9858,-76.3153
July,PENNSYLVANIA,Northeast,Summer,Thunderstorm Wind,0,0,2000.0,39.9751,-76.2473
